;university;match;latitude;longitude
1;SEAS;0.0454545454545;1;44
2;COOPER UNION;0.0454545454545;-71;30
3;Hamilton College;0.0454545454545;-72;34
4;Columbia Business School;0.047619047619;-71;33
5;Novosibirsk State University;0.047619047619;88;45
6;Rice;0.047619047619;-90;22
7;Stanford;0.047619047619;-119;29
8;charles university;0.047619047619;18;41
9;HEC FRance;0.05;5;40
10;SOGANG UNIVERSITY(KOREA);0.05;135;32
11;Northwestern University;0.05;-85;32
12;nyu;0.05;-71;33
13;Colgate University;0.0526315789474;-72;35
14;University of Delaware;0.0555555555556;-74;33
15;GA Tech;0.0555555555556;-80;26
16;University of Illinois/Champaign;0.0555555555556;-85;30
17;University of Karlsruhe/Germany;0.0555555555556;12;41
19;University of Wisconsin-Madison;0.0555555555556;-84;35
20;The American University;0.0555555555556;5;40
21;Shiyan University;0.0555555555556;120;30
22;Supaero (France);0.0555555555556;5;36
23;University of Michigan-Ann Arbor;0.0555555555556;-79;34
24;Lafayette College;0.0555555555556;-73;33
25;University of Vermont;0.0606060606061;-68;35
26;Connecticut College;0.0645161290323;-68;33
27;U. del Rosario;0.0666666666667;-68;5
28;University of the Philippines;0.0666666666667;135;12
29;Harbin Medical University;0.0666666666667;132;40
30;Delhi University;0.0689655172414;85;25
31;University of Pennsylvania;0.0714285714286;-72;32
32;New York University;0.0714285714286;-71;33
33;Holy Cross College;0.0714285714286;-68;33.5
34;UC Irvine;0.0714285714286;-119;25
35;National Taiwan University;0.0714285714286;134;21
37;Brown;0.0757575757576;-67;34
38;UCLA;0.0757575757576;-119;22
39;Cornell University;0.078125;-72;34
40;Tianjin University in China;0.0909090909091;127;34
41;Beijing University;0.0909090909091;125;34
42;University of Kansas;0.0909090909091;-90;30
43;Columbia;0.0909090909091;-71;33
45;University of Reading;0.0909090909091;1;44
47;MIT;0.0952380952381;-71;33
48;Brandeis University;0.0952380952381;-66;35
49;University of Paris;0.0952380952381;5;40
50;REC;0.0952380952381;-111;25
51;Tokyo Woman's Christian University;0.0952380952381;150;32
52;tech school;0.0952380952381;99;21
54;Universidad Iberoamericana;0.0952380952381;-96;15
58;University of International Business  & Economics;0.1;125;34
59;lipscomb university;0.1;-85;28
60;National University of Singapore;0.1;114;5
62;Occidental College;0.105263157895;-119;25
63;Georgetown University;0.107142857143;-74;29
64;SUNY Stony Brook;0.111111111111;-71;33
65;Hebrew University;0.111111111111;40;27
66;Binghamton University;0.111111111111;-72;33
67;SUNY Binghamton;0.111111111111;-72;33
68;Cal Berkeley;0.111111111111;-120;27
69;Harvard University;0.114285714286;-71;33
70;University of Heidelberg;0.125;12;41
71;Bennington College;0.125;-67;35
72;Rutgers University;0.130434782609;-71;33
73;UC Santa Cruz;0.133333333333;-119;26
75;UM;0.133333333333;-110;36
76;American University;0.133333333333;-74;30
77;U.C. Berkeley;0.136363636364;-120;27
78;Naples;0.136363636364;17.5;33.5
79;Nirma Institute of Technology-India;0.136363636364;81;20
80;Oxford University;0.136363636364;1;43.5
82;University of Toronto;0.139534883721;-75;35
83;university of pennsylvania;0.142857142857;-71;33
84;Miami University;0.142857142857;-79;30
85;Cal State Univ.;0.142857142857;-119;22
86;Vanderbilt University;0.142857142857;-81;28
88;Purdue;0.142857142857;-82;31
90;Princeton U.;0.142857142857;0;0
91;Saint Mary's College of California;0.142857142857;0;0
92;SUNY Albany;0.142857142857;0;0
93;Sarah Lawrence College;0.142857142857;0;0
94;University of Michigan;0.147058823529;0;0
95;Harvard College;0.15;0;0
96;University of Texas;0.15;0;0
97;Penn State University;0.151515151515;0;0
98;Rutgers College;0.162790697674;0;0
99;Brown University;0.166666666667;0;0
100;Rice University;0.166666666667;0;0
101;University of Florida;0.166666666667;0;0
102;Hampshire College;0.166666666667;0;0
103;Duquesne University;0.166666666667;0;0
104;University of Akron;0.166666666667;0;0
105;China;0.166666666667;0;0
106;Fordham University;0.166666666667;0;0
107;George Washington University;0.166666666667;0;0
108;National University Of Singapore;0.166666666667;0;0
109;Berklee College Of Music;0.166666666667;0;0
110;John Hopkins;0.166666666667;0;0
111;Ateneo de Manila University - Philippines;0.166666666667;0;0
112;Harvard;0.173076923077;0;0
113;Wesleyan University;0.175;0;0
114;Oxford;0.181818181818;0;0
115;S.V Regional Engineering College;0.181818181818;0;0
116;Cooper Union;0.181818181818;0;0
117;colby college;0.190476190476;0;0
118;Emory University;0.190476190476;0;0
119;U of  Michigan;0.190476190476;0;0
